test,algorithm,result,time_us
212252612764665623614335555417417744373,negamax,true,0
212252612764665623614335555417417744373,alphabeta,true,0
1221335621427137763515717733425552,negamax,true,1
1221335621427137763515717733425552,alphabeta,true,0
4671167123231352464737331514674476,negamax,true,12
4671167123231352464737331514674476,alphabeta,true,9
7653574577236637612353564562423,negamax,true,2
7653574577236637612353564562423,alphabeta,true,2
176775532231471135515346344757463,negamax,true,6
176775532231471135515346344757463,alphabeta,true,6
57643325577113252235761716712332,negamax,true,9
57643325577113252235761716712332,alphabeta,true,8
32114125125351447166362752355326644364777,negamax,true,0
32114125125351447166362752355326644364777,alphabeta,true,0
52367125716447142464421775212367531635653,negamax,true,0
52367125716447142464421775212367531635653,alphabeta,true,0
43312514245164525645617747253326616712,negamax,true,0
43312514245164525645617747253326616712,alphabeta,true,0
44265456634726327751646317142111337227355,negamax,true,0
44265456634726327751646317142111337227355,alphabeta,true,0
54136437113623141233715577445654,negamax,true,41
54136437113623141233715577445654,alphabeta,true,3
64651644262122726724773774415,negamax,true,154
64651644262122726724773774415,alphabeta,true,9
77231757163525755322112211433,negamax,true,0
77231757163525755322112211433,alphabeta,true,0
717363143443212232161127257737,negamax,true,10
717363143443212232161127257737,alphabeta,true,4
414321636734576356317437271722,negamax,true,1216
414321636734576356317437271722,alphabeta,true,175
7121546761131247352576612566574,negamax,true,1
7121546761131247352576612566574,alphabeta,true,1
65273224422416624144567351356177671,negamax,true,2
65273224422416624144567351356177671,alphabeta,true,2
2356112153166461753753763461773755,negamax,true,2
2356112153166461753753763461773755,alphabeta,true,2
21661115424451727657245344137266376,negamax,true,22
21661115424451727657245344137266376,alphabeta,true,6
1673663364573443673174525672111,negamax,true,1
1673663364573443673174525672111,alphabeta,true,1
6343473231362375744462122116477517616555,negamax,true,0
6343473231362375744462122116477517616555,alphabeta,true,0
24651541716752717557752233621662146,negamax,true,0
24651541716752717557752233621662146,alphabeta,true,1
47321142161447522575472655217,negamax,true,611
47321142161447522575472655217,alphabeta,true,56
75635436317334372651666521125725,negamax,true,146
75635436317334372651666521125725,alphabeta,true,39
23472226421545132111663333156654445,negamax,true,7
23472226421545132111663333156654445,alphabeta,true,2
34134464767445616723117677622135351352522,negamax,true,0
34134464767445616723117677622135351352522,alphabeta,true,0
62153765517527517241122675127634,negamax,true,4
62153765517527517241122675127634,alphabeta,true,4
311125152367631362215754752676,negamax,true,131
311125152367631362215754752676,alphabeta,true,20
123566473641132215541246512233376,negamax,true,408
123566473641132215541246512233376,alphabeta,true,71
3541732433215115744547214165573,negamax,true,19
3541732433215115744547214165573,alphabeta,true,16
32337276337126575366547525764,negamax,true,1
